codigoDistrito,provincia,canton,distrito,nombre_actual,sugerencia,correccion_final,clasificacion,evidencia
10302,San José,Desamparados,San Miguel,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
10304,San José,Desamparados,San Rafael Arriba,Méez,Méndez,,RECONSTRUCCION_SEGURA,MEEZ->MENDEZ confirmado x4 en distrito 10106
10501,San José,Tarrazú,San Marcos,Haciea Tres Marías,Hacienda Tres Marías,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
10502,San José,Tarrazú,San Lorenzo,Bajo Quebrada Hoa,Bajo Quebrada Honda,,RECONSTRUCCION_SEGURA,HOA->HONDA confirmado x11 en distrito 10307
10604,San José,Aserrí,San Gabriel,Rancho Grae,Rancho Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
10704,San José,Mora,Piedras Negras,Quebrada Grae,Quebrada Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
10901,San José,Santa Ana,Santa Ana,Area,Andrea,,RECONSTRUCCION_SEGURA,AREA->ANDREA confirmado x1 en distrito 11103
10901,San José,Santa Ana,Santa Ana,Haciea Del Valle,Hacienda Del Valle,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
10903,San José,Santa Ana,Pozos,La Estancia De Liora,La Estancia De Lindora,,RECONSTRUCCION_SEGURA,LIORA->LINDORA confirmado x4 en distrito 10903
10904,San José,Santa Ana,Uruca,Residencial La Haciea,Residencial La Hacienda,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
11001,San José,Alajuelita,Alajuelita,Juan Pablo Seguo,Juan Pablo Segundo,,RECONSTRUCCION_SEGURA,SEGUO->SEGUNDO confirmado x3 en distrito 20109
11004,San José,Alajuelita,Concepción,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
11004,San José,Alajuelita,Concepción,Vista Grae Dos,Vista Grande Dos,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
11102,San José,Vázquez de Coronado,San Rafael,Haciea Abigail,Hacienda Abigail,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
11102,San José,Vázquez de Coronado,San Rafael,Haciea La  Abigail,Hacienda La Abigail,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
11102,San José,Vázquez de Coronado,San Rafael,Holaa,Holanda,,RECONSTRUCCION_SEGURA,HOLAA->HOLANDA confirmado x1 en distrito 10108
11204,San José,Acosta,Cangrejal,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
11301,San José,Tibás,San Juan,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
11401,San José,Moravia,San Vicente,Alora,Alondra,,RECONSTRUCCION_SEGURA,ALORA->ALONDRA confirmado x2 en distrito 10904
11601,San José,Turrubares,San Pablo,Haciea Valle Verde,Hacienda Valle Verde,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
11701,San José,Dota,Santa María,Baera,Bandera,,RECONSTRUCCION_SEGURA,BAERA->BANDERA confirmado x2 en distrito 11702
11701,San José,Dota,Santa María,Las Ares,Las Andres,,RECONSTRUCCION_SEGURA,ARES->ANDRES confirmado x10 en distrito 10201
11703,San José,Dota,Copey,Alto Iio,Alto Indio,,RECONSTRUCCION_SEGURA,IIO->INDIO confirmado x4 en distrito 11105
11904,San José,Pérez Zeledón,Rivas,Sitio Camino de los iios,Sitio Camino de los indios,,RECONSTRUCCION_SEGURA,IIOS->INDIOS confirmado x1 en distrito 60603
12002,San José,León Cortés Castro,San Andrés,Llano Grae,Llano Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
20101,Alajuela,Alajuela,Alajuela,Acequia Grae,Acequia Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
20103,Alajuela,Alajuela,Carrizal,Calle Saoval,Calle Sandoval,,RECONSTRUCCION_SEGURA,SAOVAL->SANDOVAL confirmado x1 en distrito 70103
20104,Alajuela,Alajuela,San Antonio,Loma Lia Dos,Loma Linda Dos,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
20104,Alajuela,Alajuela,San Antonio,Loma Lia Uno,Loma Linda Uno,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
20107,Alajuela,Alajuela,Sabanilla,Haciea Alsacia,Hacienda Alsacia,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
20107,Alajuela,Alajuela,Sabanilla,Lia Vista,Linda Vista,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
20113,Alajuela,Alajuela,Garita,Maarina,Mandarina,,RECONSTRUCCION_SEGURA,MAARINA->MANDARINA confirmado x2 en distrito 20113
20203,Alajuela,San Ramón,San Juan,Valle Escoido (La Pista),Valle Escondido (La Pista),,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
20211,Alajuela,San Ramón,Concepción,Calle Méez,Calle Méndez,,RECONSTRUCCION_SEGURA,MEEZ->MENDEZ confirmado x4 en distrito 10106
20301,Alajuela,Grecia,Grecia,Lia Vista,Linda Vista,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
20403,Alajuela,San Mateo,Jesús María,Quebrada Grae,Quebrada Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
20604,Alajuela,Naranjo,Cirrí Sur,Quebrada Hoa,Quebrada Honda,,RECONSTRUCCION_SEGURA,HOA->HONDA confirmado x11 en distrito 10307
20605,Alajuela,Naranjo,San Jerónimo,Haciea Miramonte,Hacienda Miramonte,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
20606,Alajuela,Naranjo,San Juan,Lia Vista,Linda Vista,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
20606,Alajuela,Naranjo,San Juan,Rincón Elizoo,Rincón Elizondo,,RECONSTRUCCION_SEGURA,ELIZOO->ELIZONDO confirmado x1 en distrito 20707
20606,Alajuela,Naranjo,San Juan,Río Grae,Río Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
20703,Alajuela,Palmares,Buenos Aires,Calle Fernáez,Calle Fernández,,RECONSTRUCCION_SEGURA,FERNAEZ->FERNANDEZ confirmado x1 en distrito 20207
20901,Alajuela,Orotina,Orotina,Alto Vias,Alto Vindas,,RECONSTRUCCION_SEGURA,VIAS->VINDAS confirmado x1 en distrito 61001
20905,Alajuela,Orotina,La Ceiba,Haciea Don Fernao,Hacienda Don Fernando,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201; FERNAO->FERNANDO confirmado x9 en distrito 10801
21001,Alajuela,San Carlos,Quesada,Lia Vista (Tesalia),Linda Vista (Tesalia),,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
21004,Alajuela,San Carlos,Aguas Zarcas,Calle Hernáez,Calle Hernández,,RECONSTRUCCION_SEGURA,HERNAEZ->HERNANDEZ confirmado x2 en distrito 21401
21004,Alajuela,San Carlos,Aguas Zarcas,Calle Méez,Calle Méndez,,RECONSTRUCCION_SEGURA,MEEZ->MENDEZ confirmado x4 en distrito 10106
21006,Alajuela,San Carlos,Pital,Piedra Alegre (Quebrada Grae),Piedra Alegre (Quebrada Grande),,RECONSTRUCCION_SEGURA,GRAE)->GRANDE) confirmado x1 en distrito 70401
21006,Alajuela,San Carlos,Pital,Rosalía,Rosalínda,,RECONSTRUCCION_SEGURA,ROSALIA->ROSALINDA confirmado x1 en distrito 40901
21006,Alajuela,San Carlos,Pital,Saíno,Sandíno,,RECONSTRUCCION_SEGURA,SAINO->SANDINO confirmado x1 en distrito 50301
21007,Alajuela,San Carlos,La Fortuna,Lia Vista,Linda Vista,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
21010,Alajuela,San Carlos,Venado,Lia Vista,Linda Vista,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
21011,Alajuela,San Carlos,Cutris,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
21011,Alajuela,San Carlos,Cutris,Tabla Grae (San Pedro),Tabla Grande (San Pedro),,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
21401,Alajuela,Los Chiles,Los Chiles,Hernáez (Los Ángeles),Hernández (Los Ángeles),,RECONSTRUCCION_SEGURA,HERNAEZ->HERNANDEZ confirmado x2 en distrito 21401
21403,Alajuela,Los Chiles,El Amparo,Quebrada Grae,Quebrada Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
30104,Cartago,Cartago,San Nicolás,Roa,Ronda,,RECONSTRUCCION_SEGURA,ROA->RONDA confirmado x2 en distrito 11501
30105,Cartago,Cartago,Aguacaliente o San Francisco,Loma Lia,Loma Linda,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
30201,Cartago,Paraíso,Paraíso,Paora,Pandora,,RECONSTRUCCION_SEGURA,PAORA->PANDORA confirmado x2 en distrito 70102
30203,Cartago,Paraíso,Orosi,Calle Obao,Calle Obando,,RECONSTRUCCION_SEGURA,OBAO->OBANDO confirmado x3 en distrito 10901
30204,Cartago,Paraíso,Cachí,Piedra Grae,Piedra Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
30205,Cartago,Paraíso,Llanos de Santa Lucía,Haciea Jacaraa,Hacienda Jacaranda,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201; JACARAA->JACARANDA confirmado x2 en distrito 10108
30303,Cartago,La Unión,San Juan,Calle Obao,Calle Obando,,RECONSTRUCCION_SEGURA,OBAO->OBANDO confirmado x3 en distrito 10901
30303,Cartago,La Unión,San Juan,Haciea Gregal,Hacienda Gregal,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
30306,Cartago,La Unión,Dulce Nombre,Tista Hernáez,Tista Hernández,,RECONSTRUCCION_SEGURA,HERNAEZ->HERNANDEZ confirmado x2 en distrito 21401
30308,Cartago,La Unión,Río Azul,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
30308,Cartago,La Unión,Río Azul,Liavista (Loma Gobierno),Lindavista (Loma Gobierno),,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
30403,Cartago,Jiménez,Pejibaye,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
30502,Cartago,Turrialba,La Suiza,Las Golorinas,Las Golondrinas,,RECONSTRUCCION_SEGURA,GOLORINAS->GOLONDRINAS confirmado x1 en distrito 50309
30505,Cartago,Turrialba,Santa Teresita,Saoval,Sandoval,,RECONSTRUCCION_SEGURA,SAOVAL->SANDOVAL confirmado x1 en distrito 70103
30512,Cartago,Turrialba,Chirripó,Valle Escoido,Valle Escondido,,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
